profession,city,state,combined
"['engineer', 'operator', 'new', 'technology']",['delhi'],['delhi'],"['engineer', 'operator', 'new', 'technology', 'delhi', 'delhi']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['hyderabad'],['telanagana'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'hyderabad', 'telanagana']"
"['engineer', 'operator', 'new', 'technology']",['solapur '],['maharashtra '],"['engineer', 'operator', 'new', 'technology', 'solapur ', 'maharashtra ']"
"['renewable', 'energy', 'project', 'developer']",['pune'],['maharashtra'],"['renewable', 'energy', 'project', 'developer', 'pune', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['surat'],['gujarat'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'surat', 'gujarat']"
"['design', 'engineer', 'consultant']",['mumbai'],['maharashtra'],"['design', 'engineer', 'consultant', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['durg-bhilai nagar'],['chhattisgarh'],"['engineer', 'operator', 'new', 'technology', 'durg-bhilai nagar', 'chhattisgarh']"
"['engineer', 'operator', 'new', 'technology']",['sirpur kaghaznagar'],['telangana'],"['engineer', 'operator', 'new', 'technology', 'sirpur kaghaznagar', 'telangana']"
"['academician', 'student']",['pune'],['maharashtra'],"['academician', 'student', 'pune', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['wankaner dist-morbi'],['gujarat'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'wankaner dist-morbi', 'gujarat']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['nagpur'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'nagpur', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['mumbai'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'mumbai', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['mumbai'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'mumbai', 'maharashtra']"
"['regulatory', 'authority', 'policy', 'maker', 'urban', 'planning', 'specialist', 'utility', 'energy', 'company']",['ujjain'],['madhya pradesh'],"['regulatory', 'authority', 'policy', 'maker', 'urban', 'planning', 'specialist', 'utility', 'energy', 'company', 'ujjain', 'madhya pradesh']"
"['engineer', 'operator', 'new', 'technology']",['vadodara'],['gujarat'],"['engineer', 'operator', 'new', 'technology', 'vadodara', 'gujarat']"
"['academician', 'student', 'engineering', 'college']",['islampur'],['maharashtra'],"['academician', 'student', 'engineering', 'college', 'islampur', 'maharashtra']"
"['regulatory', 'authority', 'policy', 'maker', 'urban', 'planning', 'specialist', 'utility', 'energy', 'company']",['thane'],['maharashtra'],"['regulatory', 'authority', 'policy', 'maker', 'urban', 'planning', 'specialist', 'utility', 'energy', 'company', 'thane', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['akola'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'akola', 'maharashtra']"
"['design', 'engineer', 'consultant']",['pune'],['mh'],"['design', 'engineer', 'consultant', 'pune', 'mh']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['pune'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'pune', 'maharashtra']"
"['design', 'engineer', 'consultant']",['nashik '],['maharashtra '],"['design', 'engineer', 'consultant', 'nashik ', 'maharashtra ']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['mh'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'mh']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['rajahmundry '],['andhra pradesh'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'rajahmundry ', 'andhra pradesh']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['panvel  '],['maharashtra '],"['engineer', 'operator', 'new', 'technology', 'panvel  ', 'maharashtra ']"
