Event_ID,Event_Name,Event_Type,Event_Date,Location,Ticket_Price,Weather_Condition,Attendance_Count,Day_of_Week
1,Event 1,Conference,2024-02-24,C,48,Rainy,76,Saturday
2,Event 2,Concert,2022-01-02,A,73,Cloudy,206,Sunday
3,Event 3,Expo,2023-10-28,B,46,Cloudy,297,Saturday
4,Event 4,Conference,2023-03-19,E,22,Sunny,354,Sunday
5,Event 5,Concert,2022-04-29,E,72,Rainy,330,Friday
6,Event 6,Workshop,2023-08-12,C,31,Cloudy,74,Saturday
7,Event 7,Expo,2022-11-26,B,51,Rainy,291,Saturday
8,Event 8,Expo,2022-12-18,A,38,Cloudy,214,Sunday
9,Event 9,Workshop,2023-07-03,E,44,Cloudy,145,Monday
10,Event 10,Expo,2023-02-19,D,55,Rainy,497,Sunday
11,Event 11,Conference,2023-08-21,C,76,Rainy,425,Monday
12,Event 12,Conference,2022-04-11,B,99,Rainy,420,Monday
13,Event 13,Expo,2024-04-17,C,62,Cloudy,122,Wednesday
14,Event 14,Concert,2023-10-26,D,29,Rainy,167,Thursday
15,Event 15,Expo,2022-01-02,E,26,Cloudy,179,Sunday
16,Event 16,Concert,2022-01-06,D,63,Rainy,138,Thursday
17,Event 17,Conference,2023-01-16,A,34,Sunny,317,Monday
18,Event 18,Conference,2024-02-16,D,87,Cloudy,418,Friday
19,Event 19,Conference,2023-12-22,E,89,Cloudy,455,Friday
20,Event 20,Conference,2022-01-29,E,24,Sunny,316,Saturday
21,Event 21,Conference,2023-12-17,E,83,Cloudy,470,Sunday
22,Event 22,Workshop,2022-06-10,E,42,Cloudy,90,Friday
23,Event 23,Expo,2024-03-14,C,42,Rainy,164,Thursday
24,Event 24,Expo,2024-02-05,A,67,Rainy,485,Monday
25,Event 25,Workshop,2022-02-24,C,52,Rainy,201,Thursday
26,Event 26,Workshop,2024-03-26,E,51,Sunny,291,Tuesday
27,Event 27,Concert,2024-04-08,A,66,Cloudy,253,Monday
28,Event 28,Concert,2023-11-20,C,57,Sunny,144,Monday
29,Event 29,Expo,2024-03-15,C,43,Cloudy,363,Friday
30,Event 30,Expo,2023-09-06,D,98,Sunny,154,Wednesday
31,Event 31,Conference,2023-04-24,E,74,Rainy,84,Monday
32,Event 32,Conference,2023-12-10,B,67,Rainy,414,Sunday
33,Event 33,Expo,2023-01-13,B,27,Rainy,269,Friday
34,Event 34,Expo,2023-12-23,A,63,Cloudy,286,Saturday
35,Event 35,Expo,2023-04-29,D,89,Sunny,147,Saturday
36,Event 36,Concert,2024-03-15,C,73,Sunny,299,Friday
37,Event 37,Expo,2023-04-27,C,29,Rainy,124,Thursday
38,Event 38,Conference,2023-06-04,A,19,Cloudy,426,Sunday
39,Event 39,Concert,2024-02-03,C,88,Sunny,180,Saturday
40,Event 40,Conference,2023-11-18,E,46,Cloudy,491,Saturday
41,Event 41,Workshop,2023-05-18,E,29,Sunny,55,Thursday
42,Event 42,Concert,2024-02-28,D,17,Sunny,240,Wednesday
43,Event 43,Expo,2023-11-20,B,84,Sunny,286,Monday
44,Event 44,Workshop,2022-09-20,D,75,Rainy,226,Tuesday
45,Event 45,Workshop,2022-08-20,E,85,Cloudy,193,Saturday
46,Event 46,Conference,2023-08-18,C,97,Rainy,354,Friday
47,Event 47,Conference,2022-04-23,D,38,Rainy,72,Saturday
48,Event 48,Concert,2022-03-30,B,59,Rainy,104,Wednesday
49,Event 49,Workshop,2022-12-29,D,34,Sunny,278,Thursday
