Event_Type,Location,Ticket_Price,Weather_Condition,Attendance_Count,Day_of_Week,Month
1,2,48.0,1,76.0,1,2
0,0,73.0,0,206.0,2,1
2,1,46.0,0,297.0,1,10
1,4,22.0,2,354.0,2,3
0,4,72.0,1,330.0,0,4
3,2,31.0,0,74.0,1,8
2,1,51.0,1,291.0,1,11
2,0,38.0,0,214.0,2,12
3,4,44.0,0,145.0,3,7
2,3,55.0,1,497.0,2,2
1,2,76.0,1,425.0,3,8
1,1,99.0,1,420.0,3,4
2,2,62.0,0,122.0,5,4
0,3,29.0,1,167.0,6,10
2,4,26.0,0,179.0,2,1
0,3,63.0,1,138.0,6,1
1,0,34.0,2,317.0,3,1
1,3,87.0,0,418.0,0,2
1,4,89.0,0,455.0,0,12
1,4,24.0,2,316.0,1,1
1,4,83.0,0,470.0,2,12
3,4,42.0,0,90.0,0,6
2,2,42.0,1,164.0,6,3
2,0,67.0,1,485.0,3,2
3,2,52.0,1,201.0,6,2
3,4,51.0,2,291.0,4,3
0,0,66.0,0,253.0,3,4
0,2,57.0,2,144.0,3,11
2,2,43.0,0,363.0,0,3
2,3,98.0,2,154.0,5,9
1,4,74.0,1,84.0,3,4
1,1,67.0,1,414.0,2,12
2,1,27.0,1,269.0,0,1
2,0,63.0,0,286.0,1,12
2,3,89.0,2,147.0,1,4
0,2,73.0,2,299.0,0,3
2,2,29.0,1,124.0,6,4
1,0,19.0,0,426.0,2,6
0,2,88.0,2,180.0,1,2
1,4,46.0,0,491.0,1,11
3,4,29.0,2,55.0,6,5
0,3,17.0,2,240.0,5,2
2,1,84.0,2,286.0,3,11
3,3,75.0,1,226.0,4,9
3,4,85.0,0,193.0,1,8
1,2,97.0,1,354.0,0,8
1,3,38.0,1,72.0,1,4
0,1,59.0,1,104.0,5,3
3,3,34.0,2,278.0,6,12
2,1,56.0,2,173.0,6,11
1,3,82.0,0,130.0,4,2
1,3,94.0,0,363.0,5,2
2,4,38.0,0,54.0,5,3
2,3,29.0,2,86.0,4,8
1,3,10.0,0,80.0,4,4
3,4,64.0,1,489.0,6,6
2,3,92.0,1,323.0,2,6
3,0,76.0,0,174.0,5,4
2,3,46.0,1,51.0,3,2
2,1,81.0,1,198.0,5,7
2,3,39.0,1,227.0,0,7
3,4,33.0,1,71.0,3,6
2,3,49.0,0,440.0,3,6
3,3,100.0,0,301.0,0,9
1,4,91.0,1,471.0,2,2
1,2,84.0,2,380.0,3,4
0,0,58.0,2,410.0,1,12
0,0,22.0,0,364.0,2,9
3,2,82.0,1,185.0,4,11
3,1,90.0,1,404.0,5,11
2,0,14.0,2,432.0,1,3
2,2,28.0,1,465.0,1,9
3,4,62.0,1,409.0,2,2
0,1,92.0,1,203.0,4,12
3,3,47.0,2,420.0,0,11
1,4,22.0,0,230.0,0,12
2,3,98.0,0,449.0,1,2
