iter	RMSE
0	0.8757174559
1	0.8703241284
2	0.8661960733
3	0.8622962782
4	0.8597717204
5	0.8554980537
6	0.851421386
7	0.8485781602
8	0.8444533635
9	0.840176951
10	0.8365650129
11	0.8314988236
12	0.8287130558
13	0.8242055037
14	0.8216310335
15	0.8182248091
16	0.8153065912
17	0.8138882717
18	0.8093050537
19	0.8063994182
20	0.8045124073
21	0.8014741058
22	0.7977648887
23	0.7961154509
24	0.7934178107
25	0.7903295268
26	0.787761314
27	0.7856209261
28	0.7816367594
29	0.7796222552
30	0.7765834184
31	0.7732727721
32	0.7700101257
33	0.7672443684
34	0.7654898686
35	0.7639528139
36	0.76206099
37	0.7597356773
38	0.7558353584
39	0.7519230376
40	0.749431316
41	0.7464656095
42	0.7434425793
43	0.7413385372
44	0.7379936738
45	0.7366160983
46	0.7329919539
47	0.7306812589
48	0.7278912266
49	0.7252480798
50	0.722499213
51	0.7197009097
52	0.7168594427
53	0.7152972355
54	0.713864211
55	0.7118630572
56	0.7092970106
57	0.7073756766
58	0.7058345749
59	0.7040760634
60	0.7020897352
61	0.7006656224
62	0.6993229894
63	0.6970264798
64	0.6938998018
65	0.692731852
66	0.6900839518
67	0.688129949
68	0.6846053454
69	0.68273288
70	0.681683768
71	0.6795938964
72	0.67751148
73	0.6749935428
74	0.6728093606
75	0.6709446556
76	0.669447721
77	0.6678699577
78	0.6665102169
79	0.6649960589
80	0.6637997984
81	0.661846249
82	0.6604318439
83	0.6596849967
84	0.6587113925
85	0.6577874716
86	0.6560342438
87	0.6539151025
88	0.652768126
89	0.6516459535
90	0.6497511146
91	0.6486097245
92	0.6472273136
93	0.6457542887
94	0.6432768397
95	0.6404935735
96	0.6393601968
97	0.6366271781
98	0.6352387868
99	0.6340788018
