iter	Passed	Remaining
0	91	9026
1	93	4593
2	96	3112
3	99	2381
4	102	1938
5	105	1658
6	108	1442
7	111	1281
8	113	1150
9	116	1048
10	119	965
11	121	892
12	124	833
13	126	779
14	129	734
15	132	693
16	134	657
17	137	627
18	140	599
19	143	573
20	145	548
21	148	528
22	151	507
23	154	489
24	157	471
25	159	454
26	162	438
27	164	423
28	167	409
29	169	396
30	172	383
31	175	372
32	177	360
33	180	349
34	183	340
35	186	331
36	190	323
37	192	314
38	195	306
39	198	298
40	202	291
41	205	284
42	208	276
43	211	269
44	214	262
45	217	255
46	220	249
47	223	242
48	226	235
49	229	229
50	232	223
51	234	216
52	236	210
53	239	203
54	241	197
55	244	192
56	247	186
57	250	181
58	252	175
59	255	170
60	257	164
61	260	159
62	263	154
63	266	149
64	268	144
65	271	140
66	274	135
67	276	130
68	279	125
69	281	120
70	284	116
71	287	111
72	290	107
73	293	103
74	296	98
75	298	94
76	300	89
77	303	85
78	307	81
79	310	77
80	312	73
81	314	69
82	317	65
83	320	60
84	322	56
85	325	52
86	327	48
87	330	45
88	332	41
89	335	37
90	338	33
91	340	29
92	343	25
93	345	22
94	348	18
95	350	14
96	353	10
97	356	7
98	358	3
99	361	0
