Industry,Company Size,Package Type,Sponsorship Amount,Duration (months),Marketing Activities,Event Type,Event Month,Attendee Demographics,ROI Metrics,Feedback
3,2,1,46317,11.0,3,0,3,4,4.6,1
3,0,2,62925,3.0,0,1,3,3,4.3,1
5,2,2,41705,9.0,1,0,1,3,3.2,1
2,2,0,13480,5.0,1,1,12,0,4.6,2
1,1,0,43839,2.0,1,2,2,3,3.9,2
0,1,2,15827,5.0,3,3,7,1,2.1,0
4,1,1,47202,6.0,3,1,8,1,4.9,0
2,1,1,69380,11.0,1,3,3,2,2.2,2
3,2,1,60955,7.0,3,3,2,4,3.4,0
4,1,0,96482,6.0,1,3,8,1,2.4,2
3,0,2,82031,7.0,3,3,9,3,2.6,2
4,2,1,24772,8.0,3,0,7,4,2.1,0
4,1,2,77027,4.0,2,2,4,4,2.9,0
3,0,2,38329,2.0,3,2,1,3,4.2,0
5,0,0,46294,8.0,1,2,3,1,2.5,1
0,2,1,26040,12.0,0,3,1,4,3.5,1
2,1,1,92895,4.0,2,1,4,2,3.5,1
4,2,1,95669,11.0,3,3,1,0,4.7,2
1,2,0,79605,6.0,3,1,7,4,3.6,1
1,0,2,27536,11.0,2,2,9,2,3.9,2
4,1,2,43433,3.0,0,1,9,1,3.9,1
1,1,1,10850,6.0,0,0,7,4,2.9,1
1,2,0,63871,7.0,3,3,3,3,2.9,0
2,0,0,29712,1.0,3,1,10,2,2.4,1
5,0,1,91264,6.0,2,1,3,4,4.0,2
0,0,1,39980,7.0,0,0,12,0,2.2,1
3,2,2,79656,11.0,1,1,12,0,4.0,1
5,0,0,43764,4.0,2,0,11,3,3.4,1
1,0,2,80323,4.0,0,1,3,4,4.6,0
2,0,2,48721,1.0,3,1,7,2,3.6,1
3,1,1,46366,4.0,1,0,9,2,3.9,0
1,2,2,75207,8.0,1,0,8,4,4.0,0
2,2,0,26387,3.0,2,1,4,4,4.9,1
2,1,2,52451,9.0,0,2,11,3,2.4,1
1,0,2,42128,10.0,1,3,11,2,3.9,2
0,2,1,43301,8.0,3,2,8,3,4.6,0
2,1,0,16382,5.0,0,2,6,4,2.7,2
5,0,0,70973,6.0,3,2,9,0,3.4,1
5,1,1,73520,5.0,0,3,12,1,3.6,0
0,0,1,71189,1.0,2,1,1,4,2.9,2
2,0,0,73921,9.0,1,2,1,3,2.6,0
4,1,0,31897,6.0,2,1,4,1,4.6,2
1,2,0,57195,5.0,3,1,10,1,3.7,1
5,0,2,64820,3.0,0,2,12,2,4.3,0
2,1,2,81029,7.0,2,2,4,3,3.4,2
4,0,0,15959,10.0,3,3,12,2,2.4,2
1,1,0,88536,4.0,0,1,4,2,2.2,0
4,0,1,59334,10.0,0,2,11,1,2.4,1
0,0,2,29281,2.0,2,3,12,1,4.7,1
2,0,0,10239,3.0,2,0,1,1,4.8,0
2,2,0,93325,2.0,0,3,3,0,4.5,1
5,2,1,89331,9.0,2,3,1,3,2.7,1
0,2,2,75185,8.0,2,1,8,0,4.3,2
1,2,0,38610,12.0,2,3,9,0,3.8,0
3,2,2,99281,9.0,1,3,2,2,3.6,1
4,1,0,25811,12.0,3,1,12,0,2.8,1
0,1,2,81058,4.0,1,0,10,4,4.7,0
3,0,1,33398,8.0,0,0,5,2,3.8,2
0,0,0,44713,9.0,2,3,9,3,2.1,0
0,2,1,22870,2.0,3,0,12,4,3.5,1
3,0,0,34801,8.0,1,2,8,1,3.0,2
5,0,2,26022,9.0,0,1,4,4,4.1,1
4,0,1,62091,6.0,2,3,10,2,2.5,1
3,2,2,78908,2.0,3,0,2,2,2.0,1
5,1,1,48354,9.0,3,0,6,3,3.4,1
0,2,2,81469,7.0,3,0,12,0,2.1,2
3,0,1,25842,8.0,1,3,1,3,3.8,1
1,2,0,28481,3.0,3,0,2,0,4.4,2
1,1,0,65538,4.0,1,2,9,4,5.0,1
4,2,2,69033,10.0,2,2,9,2,2.5,2
3,1,0,77997,3.0,1,2,12,0,3.7,1
0,0,0,98270,9.0,2,3,10,4,4.4,2
2,2,0,62348,4.0,0,3,12,0,3.8,1
5,2,2,96142,7.0,2,2,3,4,3.8,2
0,0,2,35412,8.0,1,3,2,1,3.5,2
1,1,1,83870,12.0,3,3,1,4,4.0,1
1,2,1,49957,11.0,1,0,11,0,2.0,2
1,1,2,87052,10.0,1,3,3,3,2.7,2
2,2,0,46674,7.0,3,2,3,1,3.1,0
