Sponsor ID,Sponsor Name,Industry,Company Size,Package Type,Sponsorship Amount,Duration (months),Marketing Activities,Event ID,Event Name,Event Type,Event Date,Event Month,Attendee Demographics,ROI Metrics,Feedback
1,Sponsor 1,Retail,Small,Co-Sponsor,46317,11,Social media mentions,101,Event 101,Conference,2025-03-01,3,Tech enthusiasts,4.6,Neutral
2,Sponsor 2,Retail,Large,Title Sponsor,62925,3,Booth space,102,Event 102,Exhibition,2025-03-17,3,IT professionals,4.3,Neutral
3,Sponsor 3,Wellness,Small,Title Sponsor,41705,9,Logo placement,103,Event 103,Conference,2025-01-10,1,IT professionals,3.2,Neutral
4,Sponsor 4,Healthcare,Small,Associate Sponsor,13480,5,Logo placement,104,Event 104,Exhibition,2024-12-09,12,Finance professionals,4.6,Positive
5,Sponsor 5,Finance,Medium,Associate Sponsor,43839,2,Logo placement,105,Event 105,Seminar,2025-02-12,2,IT professionals,3.9,Positive
6,Sponsor 6,Automotive,Medium,Title Sponsor,15827,5,Social media mentions,106,Event 106,Workshop,2024-07-03,7,General public,2.1,Negative
7,Sponsor 7,Technology,Medium,Co-Sponsor,47202,6,Social media mentions,107,Event 107,Exhibition,2024-08-10,8,General public,4.9,Negative
8,Sponsor 8,Healthcare,Medium,Co-Sponsor,69380,11,Logo placement,108,Event 108,Workshop,2025-03-24,3,Healthcare providers,2.2,Positive
9,Sponsor 9,Retail,Small,Co-Sponsor,60955,7,Social media mentions,109,Event 109,Workshop,2025-02-08,2,Tech enthusiasts,3.4,Negative
10,Sponsor 10,Technology,Medium,Associate Sponsor,96482,6,Logo placement,110,Event 110,Workshop,2024-08-24,8,General public,2.4,Positive
11,Sponsor 11,Retail,Large,Title Sponsor,82031,7,Social media mentions,111,Event 111,Workshop,2024-09-21,9,IT professionals,2.6,Positive
12,Sponsor 12,Technology,Small,Co-Sponsor,24772,8,Social media mentions,112,Event 112,Conference,2024-07-25,7,Tech enthusiasts,2.1,Negative
13,Sponsor 13,Technology,Medium,Title Sponsor,77027,4,Promotional materials,113,Event 113,Seminar,2025-04-16,4,Tech enthusiasts,2.9,Negative
14,Sponsor 14,Retail,Large,Title Sponsor,38329,2,Social media mentions,114,Event 114,Seminar,2025-01-08,1,IT professionals,4.2,Negative
15,Sponsor 15,Wellness,Large,Associate Sponsor,46294,8,Logo placement,115,Event 115,Seminar,2025-03-23,3,General public,2.5,Neutral
16,Sponsor 16,Automotive,Small,Co-Sponsor,26040,12,Booth space,116,Event 116,Workshop,2025-01-19,1,Tech enthusiasts,3.5,Neutral
17,Sponsor 17,Healthcare,Medium,Co-Sponsor,92895,4,Promotional materials,117,Event 117,Exhibition,2025-04-05,4,Healthcare providers,3.5,Neutral
18,Sponsor 18,Technology,Small,Co-Sponsor,95669,11,Social media mentions,118,Event 118,Workshop,2025-01-31,1,Finance professionals,4.7,Positive
19,Sponsor 19,Finance,Small,Associate Sponsor,79605,6,Social media mentions,119,Event 119,Exhibition,2024-07-20,7,Tech enthusiasts,3.6,Neutral
20,Sponsor 20,Finance,Large,Title Sponsor,27536,11,Promotional materials,120,Event 120,Seminar,2024-09-22,9,Healthcare providers,3.9,Positive
21,Sponsor 21,Technology,Medium,Title Sponsor,43433,3,Booth space,121,Event 121,Exhibition,2024-09-15,9,General public,3.9,Neutral
22,Sponsor 22,Finance,Medium,Co-Sponsor,10850,6,Booth space,122,Event 122,Conference,2024-07-20,7,Tech enthusiasts,2.9,Neutral
23,Sponsor 23,Finance,Small,Associate Sponsor,63871,7,Social media mentions,123,Event 123,Workshop,2025-03-24,3,IT professionals,2.9,Negative
24,Sponsor 24,Healthcare,Large,Associate Sponsor,29712,1,Social media mentions,124,Event 124,Exhibition,2024-10-24,10,Healthcare providers,2.4,Neutral
25,Sponsor 25,Wellness,Large,Co-Sponsor,91264,6,Promotional materials,125,Event 125,Exhibition,2025-03-30,3,Tech enthusiasts,4.0,Positive
26,Sponsor 26,Automotive,Large,Co-Sponsor,39980,7,Booth space,126,Event 126,Conference,2024-12-03,12,Finance professionals,2.2,Neutral
27,Sponsor 27,Retail,Small,Title Sponsor,79656,11,Logo placement,127,Event 127,Exhibition,2024-12-05,12,Finance professionals,4.0,Neutral
28,Sponsor 28,Wellness,Large,Associate Sponsor,43764,4,Promotional materials,128,Event 128,Conference,2024-11-30,11,IT professionals,3.4,Neutral
29,Sponsor 29,Finance,Large,Title Sponsor,80323,4,Booth space,129,Event 129,Exhibition,2025-03-31,3,Tech enthusiasts,4.6,Negative
30,Sponsor 30,Healthcare,Large,Title Sponsor,48721,1,Social media mentions,130,Event 130,Exhibition,2024-07-24,7,Healthcare providers,3.6,Neutral
31,Sponsor 31,Retail,Medium,Co-Sponsor,46366,4,Logo placement,131,Event 131,Conference,2024-09-24,9,Healthcare providers,3.9,Negative
32,Sponsor 32,Finance,Small,Title Sponsor,75207,8,Logo placement,132,Event 132,Conference,2024-08-28,8,Tech enthusiasts,4.0,Negative
33,Sponsor 33,Healthcare,Small,Associate Sponsor,26387,3,Promotional materials,133,Event 133,Exhibition,2025-04-12,4,Tech enthusiasts,4.9,Neutral
34,Sponsor 34,Healthcare,Medium,Title Sponsor,52451,9,Booth space,134,Event 134,Seminar,2024-11-28,11,IT professionals,2.4,Neutral
35,Sponsor 35,Finance,Large,Title Sponsor,42128,10,Logo placement,135,Event 135,Workshop,2024-11-19,11,Healthcare providers,3.9,Positive
36,Sponsor 36,Automotive,Small,Co-Sponsor,43301,8,Social media mentions,136,Event 136,Seminar,2024-08-11,8,IT professionals,4.6,Negative
37,Sponsor 37,Healthcare,Medium,Associate Sponsor,16382,5,Booth space,137,Event 137,Seminar,2024-06-04,6,Tech enthusiasts,2.7,Positive
38,Sponsor 38,Wellness,Large,Associate Sponsor,70973,6,Social media mentions,138,Event 138,Seminar,2024-09-16,9,Finance professionals,3.4,Neutral
39,Sponsor 39,Wellness,Medium,Co-Sponsor,73520,5,Booth space,139,Event 139,Workshop,2024-12-03,12,General public,3.6,Negative
40,Sponsor 40,Automotive,Large,Co-Sponsor,71189,1,Promotional materials,140,Event 140,Exhibition,2025-01-28,1,Tech enthusiasts,2.9,Positive
41,Sponsor 41,Healthcare,Large,Associate Sponsor,73921,9,Logo placement,141,Event 141,Seminar,2025-01-30,1,IT professionals,2.6,Negative
42,Sponsor 42,Technology,Medium,Associate Sponsor,31897,6,Promotional materials,142,Event 142,Exhibition,2025-04-18,4,General public,4.6,Positive
43,Sponsor 43,Finance,Small,Associate Sponsor,57195,5,Social media mentions,143,Event 143,Exhibition,2024-10-02,10,General public,3.7,Neutral
44,Sponsor 44,Wellness,Large,Title Sponsor,64820,3,Booth space,144,Event 144,Seminar,2024-12-29,12,Healthcare providers,4.3,Negative
45,Sponsor 45,Healthcare,Medium,Title Sponsor,81029,7,Promotional materials,145,Event 145,Seminar,2025-04-13,4,IT professionals,3.4,Positive
46,Sponsor 46,Technology,Large,Associate Sponsor,15959,10,Social media mentions,146,Event 146,Workshop,2024-12-28,12,Healthcare providers,2.4,Positive
47,Sponsor 47,Finance,Medium,Associate Sponsor,88536,4,Booth space,147,Event 147,Exhibition,2025-04-14,4,Healthcare providers,2.2,Negative
48,Sponsor 48,Technology,Large,Co-Sponsor,59334,10,Booth space,148,Event 148,Seminar,2024-11-24,11,General public,2.4,Neutral
49,Sponsor 49,Automotive,Large,Title Sponsor,29281,2,Promotional materials,149,Event 149,Workshop,2024-12-19,12,General public,4.7,Neutral
50,Sponsor 50,Healthcare,Large,Associate Sponsor,10239,3,Promotional materials,150,Event 150,Conference,2025-01-23,1,General public,4.8,Negative
51,Sponsor 51,Healthcare,Small,Associate Sponsor,93325,2,Booth space,151,Event 151,Workshop,2025-03-17,3,Finance professionals,4.5,Neutral
52,Sponsor 52,Wellness,Small,Co-Sponsor,89331,9,Promotional materials,152,Event 152,Workshop,2025-01-21,1,IT professionals,2.7,Neutral
53,Sponsor 53,Automotive,Small,Title Sponsor,75185,8,Promotional materials,153,Event 153,Exhibition,2024-08-08,8,Finance professionals,4.3,Positive
54,Sponsor 54,Finance,Small,Associate Sponsor,38610,12,Promotional materials,154,Event 154,Workshop,2024-09-30,9,Finance professionals,3.8,Negative
55,Sponsor 55,Retail,Small,Title Sponsor,99281,9,Logo placement,155,Event 155,Workshop,2025-02-18,2,Healthcare providers,3.6,Neutral
56,Sponsor 56,Technology,Medium,Associate Sponsor,25811,12,Social media mentions,156,Event 156,Exhibition,2024-12-29,12,Finance professionals,2.8,Neutral
57,Sponsor 57,Automotive,Medium,Title Sponsor,81058,4,Logo placement,157,Event 157,Conference,2024-10-20,10,Tech enthusiasts,4.7,Negative
58,Sponsor 58,Retail,Large,Co-Sponsor,33398,8,Booth space,158,Event 158,Conference,2024-05-31,5,Healthcare providers,3.8,Positive
59,Sponsor 59,Automotive,Large,Associate Sponsor,44713,9,Promotional materials,159,Event 159,Workshop,2024-09-02,9,IT professionals,2.1,Negative
60,Sponsor 60,Automotive,Small,Co-Sponsor,22870,2,Social media mentions,160,Event 160,Conference,2024-12-30,12,Tech enthusiasts,3.5,Neutral
61,Sponsor 61,Retail,Large,Associate Sponsor,34801,8,Logo placement,161,Event 161,Seminar,2024-08-22,8,General public,3.0,Positive
62,Sponsor 62,Wellness,Large,Title Sponsor,26022,9,Booth space,162,Event 162,Exhibition,2025-04-25,4,Tech enthusiasts,4.1,Neutral
63,Sponsor 63,Technology,Large,Co-Sponsor,62091,6,Promotional materials,163,Event 163,Workshop,2024-10-10,10,Healthcare providers,2.5,Neutral
64,Sponsor 64,Retail,Small,Title Sponsor,78908,2,Social media mentions,164,Event 164,Conference,2025-02-06,2,Healthcare providers,2.0,Neutral
65,Sponsor 65,Wellness,Medium,Co-Sponsor,48354,9,Social media mentions,165,Event 165,Conference,2024-06-22,6,IT professionals,3.4,Neutral
66,Sponsor 66,Automotive,Small,Title Sponsor,81469,7,Social media mentions,166,Event 166,Conference,2024-12-14,12,Finance professionals,2.1,Positive
67,Sponsor 67,Retail,Large,Co-Sponsor,25842,8,Logo placement,167,Event 167,Workshop,2025-01-18,1,IT professionals,3.8,Neutral
68,Sponsor 68,Finance,Small,Associate Sponsor,28481,3,Social media mentions,168,Event 168,Conference,2025-02-03,2,Finance professionals,4.4,Positive
69,Sponsor 69,Finance,Medium,Associate Sponsor,65538,4,Logo placement,169,Event 169,Seminar,2024-09-27,9,Tech enthusiasts,5.0,Neutral
70,Sponsor 70,Technology,Small,Title Sponsor,69033,10,Promotional materials,170,Event 170,Seminar,2024-09-06,9,Healthcare providers,2.5,Positive
71,Sponsor 71,Retail,Medium,Associate Sponsor,77997,3,Logo placement,171,Event 171,Seminar,2024-12-01,12,Finance professionals,3.7,Neutral
72,Sponsor 72,Automotive,Large,Associate Sponsor,98270,9,Promotional materials,172,Event 172,Workshop,2024-10-29,10,Tech enthusiasts,4.4,Positive
73,Sponsor 73,Healthcare,Small,Associate Sponsor,62348,4,Booth space,173,Event 173,Workshop,2024-12-06,12,Finance professionals,3.8,Neutral
74,Sponsor 74,Wellness,Small,Title Sponsor,96142,7,Promotional materials,174,Event 174,Seminar,2025-03-18,3,Tech enthusiasts,3.8,Positive
75,Sponsor 75,Automotive,Large,Title Sponsor,35412,8,Logo placement,175,Event 175,Workshop,2025-02-03,2,General public,3.5,Positive
76,Sponsor 76,Finance,Medium,Co-Sponsor,83870,12,Social media mentions,176,Event 176,Workshop,2025-01-24,1,Tech enthusiasts,4.0,Neutral
77,Sponsor 77,Finance,Small,Co-Sponsor,49957,11,Logo placement,177,Event 177,Conference,2024-11-23,11,Finance professionals,2.0,Positive
78,Sponsor 78,Finance,Medium,Title Sponsor,87052,10,Logo placement,178,Event 178,Workshop,2025-03-17,3,IT professionals,2.7,Positive
79,Sponsor 79,Healthcare,Small,Associate Sponsor,46674,7,Social media mentions,179,Event 179,Seminar,2025-03-07,3,General public,3.1,Negative
80,Sponsor 80,Retail,Medium,Associate Sponsor,17825,2,Promotional materials,180,Event 180,Seminar,2024-09-15,9,IT professionals,3.0,Negative
81,Sponsor 81,Healthcare,Medium,Associate Sponsor,76934,12,Social media mentions,181,Event 181,Workshop,2024-11-05,11,General public,3.7,Neutral
82,Sponsor 82,Healthcare,Medium,Title Sponsor,36312,4,Social media mentions,182,Event 182,Workshop,2025-02-03,2,IT professionals,2.8,Neutral
83,Sponsor 83,Automotive,Small,Associate Sponsor,98920,12,Booth space,183,Event 183,Exhibition,2024-11-08,11,Finance professionals,2.6,Positive
84,Sponsor 84,Retail,Small,Title Sponsor,12141,9,Booth space,184,Event 184,Exhibition,2025-03-25,3,IT professionals,2.5,Negative
85,Sponsor 85,Finance,Small,Title Sponsor,79934,10,Logo placement,185,Event 185,Conference,2025-03-22,3,Healthcare providers,2.2,Positive
86,Sponsor 86,Finance,Small,Associate Sponsor,56145,11,Logo placement,186,Event 186,Workshop,2024-08-29,8,IT professionals,2.1,Negative
87,Sponsor 87,Automotive,Medium,Title Sponsor,33012,6,Social media mentions,187,Event 187,Seminar,2024-07-31,7,IT professionals,2.9,Positive
88,Sponsor 88,Automotive,Medium,Co-Sponsor,37985,6,Logo placement,188,Event 188,Conference,2024-07-12,7,IT professionals,2.6,Neutral
89,Sponsor 89,Healthcare,Small,Associate Sponsor,58005,12,Logo placement,189,Event 189,Workshop,2025-04-05,4,Finance professionals,3.8,Neutral
90,Sponsor 90,Retail,Large,Co-Sponsor,36693,2,Booth space,190,Event 190,Conference,2025-01-09,1,Tech enthusiasts,3.2,Neutral
91,Sponsor 91,Automotive,Small,Title Sponsor,82576,3,Booth space,191,Event 191,Workshop,2024-09-02,9,Tech enthusiasts,3.7,Negative
92,Sponsor 92,Wellness,Small,Associate Sponsor,90038,11,Logo placement,192,Event 192,Workshop,2024-10-04,10,IT professionals,2.3,Neutral
93,Sponsor 93,Finance,Medium,Co-Sponsor,72443,9,Booth space,193,Event 193,Exhibition,2024-10-20,10,Healthcare providers,2.8,Positive
94,Sponsor 94,Automotive,Medium,Associate Sponsor,14817,5,Social media mentions,194,Event 194,Conference,2024-12-24,12,Healthcare providers,2.1,Negative
95,Sponsor 95,Wellness,Large,Associate Sponsor,15608,4,Booth space,195,Event 195,Workshop,2025-04-26,4,Tech enthusiasts,2.7,Positive
96,Sponsor 96,Automotive,Small,Co-Sponsor,11703,8,Social media mentions,196,Event 196,Conference,2025-03-28,3,General public,4.3,Negative
97,Sponsor 97,Finance,Small,Title Sponsor,84115,6,Promotional materials,197,Event 197,Seminar,2025-02-17,2,Finance professionals,2.8,Neutral
98,Sponsor 98,Finance,Large,Associate Sponsor,89948,3,Booth space,198,Event 198,Conference,2025-01-23,1,General public,2.3,Negative
99,Sponsor 99,Finance,Large,Title Sponsor,15875,4,Booth space,199,Event 199,Conference,2025-04-17,4,Finance professionals,2.1,Positive
100,Sponsor 100,Healthcare,Small,Title Sponsor,16919,6,Booth space,200,Event 200,Conference,2024-07-20,7,Healthcare providers,3.8,Neutral
101,Sponsor 101,Wellness,Large,Title Sponsor,69225,7,Promotional materials,201,Event 201,Seminar,2025-03-03,3,General public,3.3,Neutral
102,Sponsor 102,Retail,Small,Title Sponsor,80234,11,Logo placement,202,Event 202,Seminar,2024-06-17,6,Tech enthusiasts,3.4,Neutral
103,Sponsor 103,Retail,Medium,Title Sponsor,35148,4,Booth space,203,Event 203,Conference,2024-08-31,8,Finance professionals,4.7,Negative
104,Sponsor 104,Technology,Large,Associate Sponsor,43638,11,Booth space,204,Event 204,Exhibition,2025-02-20,2,Healthcare providers,2.6,Negative
105,Sponsor 105,Finance,Large,Associate Sponsor,90038,7,Logo placement,205,Event 205,Exhibition,2025-03-26,3,General public,2.3,Negative
106,Sponsor 106,Technology,Large,Associate Sponsor,45028,2,Promotional materials,206,Event 206,Workshop,2025-03-19,3,General public,4.6,Positive
107,Sponsor 107,Healthcare,Medium,Co-Sponsor,58200,6,Booth space,207,Event 207,Conference,2024-10-04,10,General public,3.3,Positive
108,Sponsor 108,Finance,Large,Associate Sponsor,62305,12,Booth space,208,Event 208,Conference,2024-07-25,7,General public,2.3,Positive
109,Sponsor 109,Automotive,Small,Co-Sponsor,52034,1,Promotional materials,209,Event 209,Conference,2024-07-01,7,IT professionals,3.9,Positive
110,Sponsor 110,Wellness,Medium,Associate Sponsor,61240,8,Social media mentions,210,Event 210,Workshop,2025-03-18,3,General public,2.5,Positive
111,Sponsor 111,Technology,Large,Co-Sponsor,31921,1,Booth space,211,Event 211,Exhibition,2024-06-14,6,Finance professionals,4.3,Negative
112,Sponsor 112,Wellness,Small,Co-Sponsor,88423,8,Logo placement,212,Event 212,Conference,2024-07-09,7,Healthcare providers,2.7,Negative
113,Sponsor 113,Technology,Large,Title Sponsor,83574,5,Social media mentions,213,Event 213,Seminar,2024-07-29,7,Tech enthusiasts,4.7,Negative
114,Sponsor 114,Finance,Small,Co-Sponsor,59785,4,Booth space,214,Event 214,Conference,2024-09-24,9,IT professionals,3.6,Positive
115,Sponsor 115,Automotive,Small,Co-Sponsor,37531,6,Social media mentions,215,Event 215,Workshop,2025-03-20,3,IT professionals,4.9,Neutral
116,Sponsor 116,Finance,Large,Co-Sponsor,13200,11,Booth space,216,Event 216,Conference,2024-06-10,6,General public,3.0,Neutral
117,Sponsor 117,Automotive,Small,Co-Sponsor,39915,9,Booth space,217,Event 217,Seminar,2024-10-21,10,Finance professionals,2.4,Negative
118,Sponsor 118,Finance,Medium,Associate Sponsor,89262,7,Social media mentions,218,Event 218,Exhibition,2024-05-29,5,Finance professionals,3.8,Neutral
119,Sponsor 119,Healthcare,Large,Title Sponsor,28900,9,Social media mentions,219,Event 219,Exhibition,2024-07-10,7,Healthcare providers,3.8,Positive
120,Sponsor 120,Technology,Medium,Co-Sponsor,79492,4,Social media mentions,220,Event 220,Exhibition,2025-01-27,1,IT professionals,4.5,Negative
121,Sponsor 121,Wellness,Small,Associate Sponsor,10308,2,Social media mentions,221,Event 221,Exhibition,2024-06-22,6,Finance professionals,2.1,Negative
122,Sponsor 122,Wellness,Small,Co-Sponsor,95257,7,Social media mentions,222,Event 222,Workshop,2025-04-02,4,Finance professionals,2.4,Negative
123,Sponsor 123,Retail,Small,Co-Sponsor,65250,7,Promotional materials,223,Event 223,Workshop,2025-04-20,4,General public,3.6,Neutral
124,Sponsor 124,Technology,Medium,Title Sponsor,18836,12,Promotional materials,224,Event 224,Workshop,2025-01-30,1,General public,2.3,Positive
125,Sponsor 125,Automotive,Small,Title Sponsor,95623,3,Promotional materials,225,Event 225,Seminar,2024-12-21,12,Finance professionals,3.2,Negative
126,Sponsor 126,Technology,Large,Associate Sponsor,98968,9,Social media mentions,226,Event 226,Workshop,2025-04-23,4,General public,4.6,Positive
127,Sponsor 127,Wellness,Small,Co-Sponsor,36349,11,Booth space,227,Event 227,Seminar,2025-02-06,2,Tech enthusiasts,4.7,Negative
128,Sponsor 128,Technology,Small,Associate Sponsor,75735,1,Promotional materials,228,Event 228,Conference,2024-08-29,8,Tech enthusiasts,4.3,Negative
129,Sponsor 129,Retail,Large,Co-Sponsor,42715,6,Logo placement,229,Event 229,Seminar,2025-01-16,1,Tech enthusiasts,2.2,Positive
130,Sponsor 130,Healthcare,Large,Title Sponsor,20988,10,Logo placement,230,Event 230,Exhibition,2024-10-28,10,General public,4.7,Positive
131,Sponsor 131,Wellness,Small,Title Sponsor,88236,10,Promotional materials,231,Event 231,Conference,2025-03-27,3,Tech enthusiasts,4.4,Positive
132,Sponsor 132,Healthcare,Medium,Co-Sponsor,44450,9,Booth space,232,Event 232,Workshop,2025-04-22,4,Finance professionals,4.0,Positive
133,Sponsor 133,Healthcare,Small,Title Sponsor,72689,3,Booth space,233,Event 233,Exhibition,2024-06-13,6,Finance professionals,2.9,Negative
134,Sponsor 134,Technology,Small,Associate Sponsor,71849,6,Logo placement,234,Event 234,Seminar,2024-06-29,6,Healthcare providers,2.3,Positive
135,Sponsor 135,Automotive,Large,Co-Sponsor,81051,12,Social media mentions,235,Event 235,Workshop,2024-12-20,12,IT professionals,4.1,Positive
136,Sponsor 136,Retail,Large,Co-Sponsor,87438,2,Promotional materials,236,Event 236,Seminar,2025-01-19,1,IT professionals,2.0,Neutral
137,Sponsor 137,Healthcare,Small,Co-Sponsor,29605,10,Social media mentions,237,Event 237,Seminar,2024-09-14,9,Tech enthusiasts,4.6,Negative
138,Sponsor 138,Healthcare,Large,Associate Sponsor,76581,5,Logo placement,238,Event 238,Seminar,2024-11-27,11,Finance professionals,4.1,Negative
139,Sponsor 139,Retail,Large,Title Sponsor,69228,11,Logo placement,239,Event 239,Seminar,2025-03-27,3,General public,4.9,Neutral
